id,genres,keywords,original_language,original_title,overview,popularity,release_date,runtime,spoken_languages,tagline,vote_average,vote_count,cast,director,combined_features
10,"['Adventure', 'Fantasy', 'Action', 'Science', 'Fiction']",saving the world dc comics invulnerability sequel superhero,en,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",1.1435826255820305,2006-06-28 00:00:00,2.086794537666821,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",,-0.5825172309874591,0.573718270486628,"['Brandon', 'Routh', 'Kevin', 'Spacey', 'Kate', 'Bosworth', 'James', 'Marsden', 'Parker', 'Posey']",Bryan Singer,Superman Returns saving the world dc comics invulnerability sequel superhero BrandonRouthKevinSpaceyKateBosworthJamesMarsdenParkerPosey AdventureFantasyActionScienceFiction
11,"['Adventure', 'Action', 'Thriller', 'Crime']",killing undercover secret agent british secret service,en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",2.7146154029251868,2008-10-30 00:00:00,-0.04055563244937797,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]","For love, for hate, for justice, for revenge.",0.00562471517106743,1.8407510338433801,"['Daniel', 'Craig', 'Olga', 'Kurylenko', 'Mathieu', 'Amalric', 'Judi', 'Dench', 'Giancarlo', 'Giannini']",Marc Forster,Quantum of Solace killing undercover secret agent british secret service DanielCraigOlgaKurylenkoMathieuAmalricJudiDenchGiancarloGiannini AdventureActionThrillerCrime
12,"['Adventure', 'Fantasy', 'Action']",witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",3.905965706388146,2006-06-20 00:00:00,1.9538351520345585,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'tr', 'name': 'Türkçe'}, {'iso_639_1': 'el', 'name': 'ελληνικά'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Jack is back!,0.7618072173748883,3.687461406505841,"['Johnny', 'Depp', 'Orlando', 'Bloom', 'Keira', 'Knightley', 'Stellan', 'Skarsg\\u00e5rd', 'Bill', 'Nighy']",Gore Verbinski,Pirates of the Caribbean: Dead Man's Chest witch fortune teller bondage exotic island monster JohnnyDeppOrlandoBloomKeiraKnightleyStellanSkarsg\u00e5rdBillNighy AdventureFantasyAction
13,"['Action', 'Adventure', 'Western']",texas horse survivor texas ranger partner,en,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",0.864626874278433,2013-07-03 00:00:00,1.8651955616130502,"[{'iso_639_1': 'en', 'name': 'English'}]",Never Take Off the Mask,-0.16241584087422545,1.311268971712188,"['Johnny', 'Depp', 'Armie', 'Hammer', 'William', 'Fichtner', 'Helena', 'Bonham', 'Carter', 'James', 'Badge', 'Dale']",Gore Verbinski,The Lone Ranger texas horse survivor texas ranger partner JohnnyDeppArmieHammerWilliamFichtnerHelenaBonhamCarterJamesBadgeDale ActionAdventureWestern
14,"['Action', 'Adventure', 'Fantasy', 'Science', 'Fiction']",saving the world dc comics superhero based on comic book superhuman,en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",2.4465891011017,2013-06-12 00:00:00,1.5992767903485254,"[{'iso_639_1': 'en', 'name': 'English'}]",You will believe that a man can fly.,0.34170582726165466,4.5885524388483745,"['Henry', 'Cavill', 'Amy', 'Adams', 'Michael', 'Shannon', 'Kevin', 'Costner', 'Diane', 'Lane']",Zack Snyder,Man of Steel saving the world dc comics superhero based on comic book superhuman HenryCavillAmyAdamsMichaelShannonKevinCostnerDianeLane ActionAdventureFantasyScienceFiction
15,"['Adventure', 'Family', 'Fantasy']",based on novel fictional place brother sister relationship lion human being,en,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",1.019572545187521,2008-05-15 00:00:00,1.9095153568238044,"[{'iso_639_1': 'en', 'name': 'English'}]",Hope has a new face.,0.17366527121636105,0.7599275583920932,"['Ben', 'Barnes', 'William', 'Moseley', 'Anna', 'Popplewell', 'Skandar', 'Keynes', 'Georgie', 'Henley']",Andrew Adamson,The Chronicles of Narnia: Prince Caspian based on novel fictional place brother sister relationship lion human being BenBarnesWilliamMoseleyAnnaPopplewellSkandarKeynesGeorgieHenley AdventureFamilyFantasy
16,"['Science', 'Fiction', 'Action', 'Adventure']",new york shield marvel comic superhero based on comic book,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",3.8620189921670907,2012-04-25 00:00:00,1.5992767903485254,"[{'iso_639_1': 'en', 'name': 'English'}]",Some assembly required.,1.0978883294654755,8.974185971821875,"['Robert', 'Downey', 'Jr.', 'Chris', 'Evans', 'Mark', 'Ruffalo', 'Chris', 'Hemsworth', 'Scarlett', 'Johansson']",Joss Whedon,The Avengers new york shield marvel comic superhero based on comic book RobertDowneyJr.ChrisEvansMarkRuffaloChrisHemsworthScarlettJohansson ScienceFictionActionAdventure
17,"['Adventure', 'Action', 'Fantasy']",sea captain mutiny sword prime minister,en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",3.578158475053941,2011-05-14 00:00:00,1.2890382238732463,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Live Forever Or Die Trying.,0.2576855492390082,3.446198937828325,"['Johnny', 'Depp', 'Pen\\u00e9lope', 'Cruz', 'Ian', 'McShane', 'Kevin', 'McNally', 'Geoffrey', 'Rush']",Rob Marshall,Pirates of the Caribbean: On Stranger Tides sea captain mutiny sword prime minister JohnnyDeppPen\u00e9lopeCruzIanMcShaneKevinMcNallyGeoffreyRush AdventureActionFantasy
18,"['Action', 'Comedy', 'Science', 'Fiction']",time travel time machine alien fictional government agency seeing the future,en,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",0.9585128136911499,2012-05-23 00:00:00,-0.04055563244937797,"[{'iso_639_1': 'en', 'name': 'English'}]",They are back... in time.,0.08964499319371462,2.80822972535221,"['Will', 'Smith', 'Tommy', 'Lee', 'Jones', 'Josh', 'Brolin', 'Michael', 'Stuhlbarg', 'Emma', 'Thompson']",Barry Sonnenfeld,Men in Black 3 time travel time machine alien fictional government agency seeing the future WillSmithTommyLeeJonesJoshBrolinMichaelStuhlbargEmmaThompson ActionComedyScienceFiction
19,"['Action', 'Adventure', 'Fantasy']",corruption elves dwarves orcs middle-earth (tolkien),en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",3.1242182364084012,2014-12-10 00:00:00,1.6435965855592796,"[{'iso_639_1': 'en', 'name': 'English'}]",Witness the defining chapter of the Middle-Earth saga,0.8458274953975348,3.2939930851055976,"['Martin', 'Freeman', 'Ian', 'McKellen', 'Richard', 'Armitage', 'Ken', 'Stott', 'Graham', 'McTavish']",Peter Jackson,The Hobbit: The Battle of the Five Armies corruption elves dwarves orcs middle-earth (tolkien) MartinFreemanIanMcKellenRichardArmitageKenStottGrahamMcTavish ActionAdventureFantasy
20,"['Action', 'Adventure', 'Fantasy']",loss of father vigilante serum marvel comic scientific experiment,en,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",2.147114896219335,2012-06-27 00:00:00,1.2890382238732463,"[{'iso_639_1': 'en', 'name': 'English'}]",The untold story begins.,0.34170582726165466,4.772332909955073,"['Andrew', 'Garfield', 'Emma', 'Stone', 'Rhys', 'Ifans', 'Denis', 'Leary', 'Campbell', 'Scott']",Marc Webb,The Amazing Spider-Man loss of father vigilante serum marvel comic scientific experiment AndrewGarfieldEmmaStoneRhysIfansDenisLearyCampbellScott ActionAdventureFantasy
21,"['Action', 'Adventure']",robin hood archer knight sherwood forest bow and arrow,en,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",0.5071248692646808,2010-05-12 00:00:00,1.4663174047162628,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]","Rise and rise again, until lambs become lions.",0.08964499319371462,0.5720990592874501,"['Russell', 'Crowe', 'Cate', 'Blanchett', 'Max', 'von', 'Sydow', 'William', 'Hurt', 'Mark', 'Strong']",Ridley Scott,Robin Hood robin hood archer knight sherwood forest bow and arrow RussellCroweCateBlanchettMaxvonSydowWilliamHurtMarkStrong ActionAdventure
22,"['Adventure', 'Fantasy']",elves dwarves orcs hobbit dragon,en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2.288633554721538,2013-12-11 00:00:00,2.3970331041421,"[{'iso_639_1': 'en', 'name': 'English'}]",Beyond darkness... beyond desolation... lies the greatest danger of all.,1.2659288855107684,3.1029261636025987,"['Martin', 'Freeman', 'Ian', 'McKellen', 'Richard', 'Armitage', 'Ken', 'Stott', 'Graham', 'McTavish']",Peter Jackson,The Hobbit: The Desolation of Smaug elves dwarves orcs hobbit dragon MartinFreemanIanMcKellenRichardArmitageKenStottGrahamMcTavish AdventureFantasy
23,"['Adventure', 'Fantasy']",england compass experiment lordship uncle,en,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",0.6743539450558198,2007-12-04 00:00:00,0.26968293402590104,"[{'iso_639_1': 'is', 'name': 'Íslenska'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'fr', 'name': 'Français'}]",There are worlds beyond our own - the compass will show the way.,-0.24643611889687264,0.4951865273264971,"['Dakota', 'Blue', 'Richards', 'Nicole', 'Kidman', 'Daniel', 'Craig', 'Sam', 'Elliott', 'Eva', 'Green']",Chris Weitz,The Golden Compass england compass experiment lordship uncle DakotaBlueRichardsNicoleKidmanDanielCraigSamElliottEvaGreen AdventureFantasy
24,"['Adventure', 'Drama', 'Action']",film business screenplay show business film making film producer,en,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",1.2472763371693247,2005-12-14 00:00:00,3.5493477796217077,"[{'iso_639_1': 'en', 'name': 'English'}]",The eighth wonder of the world.,0.4257261052843011,1.3323187173015014,"['Naomi', 'Watts', 'Jack', 'Black', 'Adrien', 'Brody', 'Thomas', 'Kretschmann', 'Colin', 'Hanks']",Peter Jackson,King Kong film business screenplay show business film making film producer NaomiWattsJackBlackAdrienBrodyThomasKretschmannColinHanks AdventureDramaAction
25,"['Drama', 'Romance', 'Thriller']",shipwreck iceberg ship panic titanic,en,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",2.4663165586903237,1997-11-18 00:00:00,3.859586346096987,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'sv', 'name': 'svenska'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Nothing on Earth could come between them.,1.181908607488122,5.562507975153917,"['Kate', 'Winslet', 'Leonardo', 'DiCaprio', 'Frances', 'Fisher', 'Billy', 'Zane', 'Kathy', 'Bates']",James Cameron,Titanic shipwreck iceberg ship panic titanic KateWinsletLeonardoDiCaprioFrancesFisherBillyZaneKathyBates DramaRomanceThriller
26,"['Adventure', 'Action', 'Science', 'Fiction']",civil war war marvel comic sequel superhero,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",5.556230920807547,2016-04-27 00:00:00,1.776555971191542,"[{'iso_639_1': 'ro', 'name': 'Română'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Divided We Fall,0.8458274953975348,5.3026245776858545,"['Chris', 'Evans', 'Robert', 'Downey', 'Jr.', 'Scarlett', 'Johansson', 'Sebastian', 'Stan', 'Anthony', 'Mackie']",Anthony Russo,Captain America: Civil War civil war war marvel comic sequel superhero ChrisEvansRobertDowneyJr.ScarlettJohanssonSebastianStanAnthonyMackie AdventureActionScienceFiction
27,"['Thriller', 'Action', 'Adventure', 'Science', 'Fiction']",fight u.s. navy mind reading hong kong soccer,en,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",1.3635998756988588,2012-04-11 00:00:00,1.0674392478194756,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",The Battle for Earth Begins at Sea,-0.4984969529648127,1.151776668593159,"['Taylor', 'Kitsch', 'Alexander', 'Skarsg\\u00e5rd', 'Rihanna', 'Brooklyn', 'Decker', 'Tadanobu', 'Asano']",Peter Berg,Battleship fight u.s. navy mind reading hong kong soccer TaylorKitschAlexanderSkarsg\u00e5rdRihannaBrooklynDeckerTadanobuAsano ThrillerActionAdventureScienceFiction
28,"['Action', 'Adventure', 'Science', 'Fiction', 'Thriller']",monster dna tyrannosaurus rex velociraptor island,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",12.478896025297038,2015-06-09 00:00:00,0.7572006813441966,"[{'iso_639_1': 'en', 'name': 'English'}]",The park is open.,0.34170582726165466,6.453074134701794,"['Chris', 'Pratt', 'Bryce', 'Dallas', 'Howard', 'Irrfan', 'Khan', 'Vincent', ""D'Onofrio"", 'Nick', 'Robinson']",Colin Trevorrow,Jurassic World monster dna tyrannosaurus rex velociraptor island ChrisPrattBryceDallasHowardIrrfanKhanVincentD'OnofrioNickRobinson ActionAdventureScienceFictionThriller
29,"['Action', 'Adventure', 'Thriller']",spy secret agent sociopath killer art gallery,en,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",2.245729154290324,2012-10-25 00:00:00,1.5992767903485254,"[{'iso_639_1': 'en', 'name': 'English'}]",Think on your sins.,0.6777869393522419,5.596511410336653,"['Daniel', 'Craig', 'Judi', 'Dench', 'Javier', 'Bardem', 'Ralph', 'Fiennes', 'Naomie', 'Harris']",Sam Mendes,Skyfall spy secret agent sociopath killer art gallery DanielCraigJudiDenchJavierBardemRalphFiennesNaomieHarris ActionAdventureThriller
